Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0136/60/SP,ALIM. LED MP 80 SLIM 122214I,  50.50 ,3
0136/LED/DALI,ALIM. LED DIMM. DALI 122688,  123.00 ,3
0136/LED/DIM,ALIM. LED DIMM. 1-10 122684,  106.00 ,3
0137/LED,ALIM. LED 350mA 8W 122633,  22.00 ,3
0138,AL.LED DC 1 500mA BMU 122794,  42.00 ,3
0139,ALIM. LED DC 8W 350mA 127715,  23.00 ,3
0141/DALI,AL. MULTIPOWER DIMM. DALI,  72.00 ,3
0141/DIM,AL. MULTIPOW. DIMM. PUSH 1-10V,  58.00 ,3
0143/IP,ALIMENTATORE IP67 500mA,  43.00 ,3
0145,AL. MULTIPOW. DIMM. PUSH 1-10V,  102.00 ,3
0145/CASA,ALIMENTATORE CASAMBI,  169.00 ,3
0145/DALI,AL. MULTIPOWER DIMM. DALI,  125.00 ,3
0146/PLUS,AL.LED MP 15 122360,  35.00 ,3
0147/COB,ALIMENTATORE 500mA,  26.00 ,3
0148/COB,ALIMENTATORE 700mA,  35.00 ,3
0149/COB,ALIMENTATORE 500mA,  25.00 ,3
0149/SP,AL. LED DC BULL/U 500mA 141131,  23.00 ,3
0151/150,ALIMENTATORE 150mA STAR IP,  22.00 ,3
0152,CENTRAL.+TELECOM. RGB X 6353,  69.00 ,3
0155,ALIMENTATORE SLIM 24V 13W,  35.00 ,3
0156,ALIMENTATORE 24V 25W,  37.00 ,3
0157,ALIMENTATORE 24V 75W,  75.00 ,3
0157/48,ALIMENTATORE SLIM 48V 75W,  90.00 ,3
0158/UNIV,AL.LED DC 20W 500mA WUS 122201,  35.00 ,3
0159,ALIMENTATORE 12V 25W,  37.00 ,3
0160,ALIMENTATORE 24V 60W,  60.00 ,3
0160/48,ALIMENTATORE 48V 50W,  80.00 ,3
0161/100,ALIMENTATORE 24V 100W,  86.00 ,3
0161/150,ALIMENTATORE 24V 150W,  100.00 ,1
0162/48,ALIMENTATORE 48V 150W,  114.00 ,3
0163,RICEVITORE INFRAROSSI,  31.00 ,3
0164,ALIMENTATORE RGB 24V 120W,  218.00 ,3
0164/CASA,ALIMENTATORE RGB CASAMBI,  232.00 ,3
0165,TELECOMANDO IR X RGB,  48.00 ,3
0166,CAVO DI SINCRONIZ. RGB,  9.00 ,3
0167,ALIMENTATORE RGB 24V 22W,  58.00 ,3
0168,CONVERTER RGB 3X250mA,  57.00 ,3
0169/50,ALIMENTATORE MULTIPOWER,  45.00 ,3
0173,ALIMENTATORE 12V 50W,  85.00 ,3
