Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
4591.01/W,LAMP. PAR. Q LIGHT 70X70 4000K,  425.00 ,3
4591.01/WW,LAMP. PAR. Q LIGHT 70X70 3000K,  425.00 ,3
4591.01/XW,LAMP. PAR. Q LIGHT 70X70 2700K,  425.00 ,3
4591.14/W,LAMP. PAR. Q LIGHT 70X70 4000K,  435.00 ,3
4591.14/WW,LAMP. PAR. Q LIGHT 70X70 3000K,  435.00 ,3
4591.14/XW,LAMP. PAR. Q LIGHT 70X70 2700K,  435.00 ,3
4591.29/W,LAMP. PAR. Q LIGHT 70X70 4000K,  655.00 ,3
4591.29/WW,LAMP. PAR. Q LIGHT 70X70 3000K,  655.00 ,3
4591.29/XW,LAMP. PAR. Q LIGHT 70X70 2700K,  655.00 ,3
4591.30/W,LAMP. PAR. Q LIGHT 70X70 4000K,  655.00 ,3
4591.30/WW,LAMP. PAR. Q LIGHT 70X70 3000K,  655.00 ,3
4591.30/XW,LAMP. PAR. Q LIGHT 70X70 2700K,  655.00 ,3
4592.01,LAMP. PAR. ECLIPSE,  105.00 ,3
4592.02,LAMP. PAR. ECLIPSE,  110.00 ,3
4592.25,LAMP. PAR. ECLIPSE,  150.00 ,3
4592.28,LAMP. PAR. ECLIPSE,  185.00 ,3
4592.29,LAMP. PAR. ECLIPSE,  180.00 ,3
4592.32,LAMP. PAR. ECLIPSE,  130.00 ,3
4592.35,LAMP. PAR. ECLIPSE,  110.00 ,3
4592.56,LAMP. PAR. ECLIPSE,  130.00 ,3
4593.01,LAMP. PAR. ECLIPSE QUADRA,  110.00 ,3
4593.02,LAMP. PAR. ECLIPSE QUADRA,  115.00 ,3
4593.35,LAMP. PAR. ECLIPSE QUADRA,  115.00 ,3
4594.01,LAMP. PAR. DEMI,  99.00 ,3
4594.02.21,LAMP. PAR. DEMI,  110.00 ,3
4595.21/WW,LAMP. PAR. IKON-MAXI 3000K,  485.00 ,3
4595.21/XW,LAMP. PAR. IKON-MAXI 2700K,  485.00 ,3
4595.31/WW,LAMP. PAR. IKON-MAXI 3000K,  409.00 ,3
4595.31/XW,LAMP. PAR. IKON-MAXI 2700K,  409.00 ,3
4595.32/WW,LAMP. PAR. IKON-MAXI 3000K,  431.00 ,3
4595.32/XW,LAMP. PAR. IKON-MAXI 2700K,  431.00 ,3
4596.01,LAMP. PAR. ELLEIN,  131.00 ,3
4596.02,LAMP. PAR. ELLEIN,  137.00 ,3
4596.35,LAMP. PAR. ELLEIN,  137.00 ,3
4599.01,LAMP. PAR. ELLEOUT,  138.00 ,3
4599.02,LAMP. PAR. ELLEOUT,  148.00 ,3
4599.35,LAMP. PAR. ELLEOUT,  148.00 ,3
4601.31/W,LAMP. PAR. EXTRA 63 CM 4000K,  222.00 ,3
4601.31/WW,LAMP. PAR. EXTRA 63 CM 3000K,  222.00 ,3
4601.31/XW,LAMP. PAR. EXTRA 63 CM 2700K,  222.00 ,3
4602.31/W,LAMP. PAR. EXTRA 83 CM 4000K,  235.00 ,3
4602.31/WW,LAMP. PAR. EXTRA 83 CM 3000K,  235.00 ,3
4602.31/XW,LAMP. PAR. EXTRA 83 CM 2700K,  235.00 ,3
4603.31/W,LAMP. PAR. EXTRA 123 CM 4000K,  263.00 ,3
4603.31/WW,LAMP. PAR. EXTRA 123 CM 3000K,  263.00 ,3
4603.31/XW,LAMP. PAR. EXTRA 123 CM 2700K,  263.00 ,3
4604.31/W,LAMP. PAR. EXTRA 163 CM 4000K,  301.00 ,3
4604.31/WW,LAMP. PAR. EXTRA 163 CM 3000K,  301.00 ,3
4604.31/XW,LAMP. PAR. EXTRA 163 CM 2700K,  301.00 ,3
4605.01/W,LANCIA TONDA PARETE Ø 35 4000K,  329.00 ,3
4605.01/WW,LANCIA TONDA PARETE Ø 35 3000K,  329.00 ,3
4605.01/XW,LANCIA TONDA PARETE Ø 35 2700K,  329.00 ,3
4605.02/W,LANCIA TONDA PARETE Ø 35 4000K,  329.00 ,3
4605.02/WW,LANCIA TONDA PARETE Ø 35 3000K,  329.00 ,3
4605.02/XW,LANCIA TONDA PARETE Ø 35 2700K,  329.00 ,3
4605.25/W,LANCIA TONDA PARETE Ø 35 4000K,  425.00 ,3
4605.25/WW,LANCIA TONDA PARETE Ø 35 3000K,  425.00 ,3
4605.25/XW,LANCIA TONDA PARETE Ø 35 2700K,  425.00 ,3
4605.31/W,LANCIA TONDA PARETE Ø 35 4000K,  365.00 ,3
4605.31/WW,LANCIA TONDA PARETE Ø 35 3000K,  365.00 ,3
4605.31/XW,LANCIA TONDA PARETE Ø 35 2700K,  365.00 ,3
4605.85/W,LANCIA TONDA PARETE Ø 35 4000K,  335.00 ,3
4605.85/WW,LANCIA TONDA PARETE Ø 35 3000K,  335.00 ,3
4605.85/XW,LANCIA TONDA PARETE Ø 35 2700K,  335.00 ,3
4605.86/W,LANCIA TONDA PARETE Ø 35 4000K,  335.00 ,3
4605.86/WW,LANCIA TONDA PARETE Ø 35 3000K,  335.00 ,3
4605.86/XW,LANCIA TONDA PARETE Ø 35 2700K,  335.00 ,3
4605.87/W,LANCIA TONDA PARETE Ø 35 4000K,  335.00 ,3
4605.87/WW,LANCIA TONDA PARETE Ø 35 3000K,  335.00 ,3
4605.87/XW,LANCIA TONDA PARETE Ø 35 2700K,  335.00 ,3
4605.88/W,LANCIA TONDA PARETE Ø 35 4000K,  335.00 ,3
4605.88/WW,LANCIA TONDA PARETE Ø 35 3000K,  335.00 ,3
4605.88/XW,LANCIA TONDA PARETE Ø 35 2700K,  335.00 ,3
4606.01/W,LANCIA TONDA PARETE Ø 50 4000K,  365.00 ,3
4606.01/WW,LANCIA TONDA PARETE Ø 50 3000K,  365.00 ,3
4606.01/XW,LANCIA TONDA PARETE Ø 50 2700K,  365.00 ,3
4606.02/W,LANCIA TONDA PARETE Ø 50 4000K,  365.00 ,3
4606.02/WW,LANCIA TONDA PARETE Ø 50 3000K,  365.00 ,3
4606.02/XW,LANCIA TONDA PARETE Ø 50 2700K,  365.00 ,3
4606.25/W,LANCIA TONDA PARETE Ø 50 4000K,  498.00 ,3
4606.25/WW,LANCIA TONDA PARETE Ø 50 3000K,  498.00 ,3
4606.25/XW,LANCIA TONDA PARETE Ø 50 2700K,  498.00 ,3
4606.31/W,LANCIA TONDA PARETE Ø 50 4000K,  435.00 ,3
4606.31/WW,LANCIA TONDA PARETE Ø 50 3000K,  435.00 ,3
4606.31/XW,LANCIA TONDA PARETE Ø 50 2700K,  435.00 ,3
4606.85/W,LANCIA TONDA PARETE Ø 50 4000K,  375.00 ,3
4606.85/WW,LANCIA TONDA PARETE Ø 50 3000K,  375.00 ,3
4606.85/XW,LANCIA TONDA PARETE Ø 50 2700K,  375.00 ,3
4606.86/W,LANCIA TONDA PARETE Ø 50 4000K,  375.00 ,3
4606.86/WW,LANCIA TONDA PARETE Ø 50 3000K,  375.00 ,3
4606.86/XW,LANCIA TONDA PARETE Ø 50 2700K,  375.00 ,3
4606.87/W,LANCIA TONDA PARETE Ø 50 4000K,  375.00 ,3
4606.87/WW,LANCIA TONDA PARETE Ø 50 3000K,  375.00 ,3
4606.87/XW,LANCIA TONDA PARETE Ø 50 2700K,  375.00 ,3
4606.88/W,LANCIA TONDA PARETE Ø 50 4000K,  375.00 ,3
4606.88/WW,LANCIA TONDA PARETE Ø 50 3000K,  375.00 ,3
4606.88/XW,LANCIA TONDA PARETE Ø 50 2700K,  375.00 ,3
4607.01/W,LANCIA TONDA PARETE Ø 70 4000K,  442.00 ,3
4607.01/WW,LANCIA TONDA PARETE Ø 70 3000K,  442.00 ,3
4607.01/XW,LANCIA TONDA PARETE Ø 70 2700K,  442.00 ,3
4607.02/W,LANCIA TONDA PARETE Ø 70 4000K,  442.00 ,3
4607.02/WW,LANCIA TONDA PARETE Ø 70 3000K,  442.00 ,3
4607.02/XW,LANCIA TONDA PARETE Ø 70 2700K,  442.00 ,3
4607.25/W,LANCIA TONDA PARETE Ø 70 4000K,  655.00 ,3
4607.25/WW,LANCIA TONDA PARETE Ø 70 3000K,  655.00 ,3
4607.25/XW,LANCIA TONDA PARETE Ø 70 2700K,  655.00 ,3
4607.31/W,LANCIA TONDA PARETE Ø 70 4000K,  535.00 ,3
4607.31/WW,LANCIA TONDA PARETE Ø 70 3000K,  535.00 ,3
4607.31/XW,LANCIA TONDA PARETE Ø 70 2700K,  535.00 ,3
4607.85/W,LANCIA TONDA PARETE Ø 70 4000K,  468.00 ,3
4607.85/WW,LANCIA TONDA PARETE Ø 70 3000K,  468.00 ,3
4607.85/XW,LANCIA TONDA PARETE Ø 70 2700K,  468.00 ,3
4607.86/W,LANCIA TONDA PARETE Ø 70 4000K,  468.00 ,3
4607.86/WW,LANCIA TONDA PARETE Ø 70 3000K,  468.00 ,3
4607.86/XW,LANCIA TONDA PARETE Ø 70 2700K,  468.00 ,3
4607.87/W,LANCIA TONDA PARETE Ø 70 4000K,  468.00 ,3
4607.87/WW,LANCIA TONDA PARETE Ø 70 3000K,  468.00 ,3
4607.87/XW,LANCIA TONDA PARETE Ø 70 2700K,  468.00 ,3
4607.88/W,LANCIA TONDA PARETE Ø 70 4000K,  468.00 ,3
4607.88/WW,LANCIA TONDA PARETE Ø 70 3000K,  468.00 ,3
4607.88/XW,LANCIA TONDA PARETE Ø 70 2700K,  468.00 ,3
4608.21,OLIM PARETE SENZA LAMPADINA,  214.00 ,3
4608.25,OLIM PARETE SENZA LAMPADINA,  214.00 ,3
4609.21,OLIM PARETE SENZA LAMPADINE,  229.00 ,3
4609.25,OLIM PARETE SENZA LAMPADINE,  229.00 ,3
4610.01/W/25,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.01/W/48,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.01/W/63,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.01/W/ST,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.01/WW/25,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.01/WW/48,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.01/WW/63,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.01/WW/ST,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.01/XW/25,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.01/XW/48,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.01/XW/63,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.01/XW/ST,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.02/W/25,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.02/W/48,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.02/W/63,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.02/W/ST,LAMP. PAR. NEWTON SLIM 4000K,  219.00 ,3
4610.02/WW/25,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.02/WW/48,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.02/WW/63,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.02/WW/ST,LAMP. PAR. NEWTON SLIM 3000K,  219.00 ,3
4610.02/XW/25,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.02/XW/48,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.02/XW/63,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.02/XW/ST,LAMP. PAR. NEWTON SLIM 2700K,  219.00 ,3
4610.31/W/25,LAMP. PAR. NEWTON SLIM 4000K,  249.00 ,3
4610.31/W/48,LAMP. PAR. NEWTON SLIM 4000K,  249.00 ,3
4610.31/W/63,LAMP. PAR. NEWTON SLIM 4000K,  249.00 ,3
4610.31/W/ST,LAMP. PAR. NEWTON SLIM 4000K,  249.00 ,3
4610.31/WW/25,LAMP. PAR. NEWTON SLIM 3000K,  249.00 ,3
4610.31/WW/48,LAMP. PAR. NEWTON SLIM 3000K,  249.00 ,3
4610.31/WW/63,LAMP. PAR. NEWTON SLIM 3000K,  249.00 ,3
4610.31/WW/ST,LAMP. PAR. NEWTON SLIM 3000K,  249.00 ,3
4610.31/XW/25,LAMP. PAR. NEWTON SLIM 2700K,  249.00 ,3
4610.31/XW/48,LAMP. PAR. NEWTON SLIM 2700K,  249.00 ,3
4610.31/XW/63,LAMP. PAR. NEWTON SLIM 2700K,  249.00 ,3
4610.31/XW/ST,LAMP. PAR. NEWTON SLIM 2700K,  249.00 ,3
4611.01/W/13,LAMP. PAR. NEWTON FLAT 4000K,  272.00 ,3
4611.01/W/40,LAMP. PAR. NEWTON FLAT 4000K,  272.00 ,3
4611.01/W/ST,LAMP. PAR. NEWTON FLAT 4000K,  272.00 ,3
4611.01/WW/13,LAMP. PAR. NEWTON FLAT 3000K,  272.00 ,3
4611.01/WW/40,LAMP. PAR. NEWTON FLAT 3000K,  272.00 ,3
4611.01/WW/ST,LAMP. PAR. NEWTON FLAT 3000K,  272.00 ,3
4611.01/XW/13,LAMP. PAR. NEWTON FLAT 2700K,  272.00 ,3
4611.01/XW/40,LAMP. PAR. NEWTON FLAT 2700K,  272.00 ,3
4611.01/XW/ST,LAMP. PAR. NEWTON FLAT 2700K,  272.00 ,3
4611.02/W/13,LAMP. PAR. NEWTON FLAT 4000K,  272.00 ,3
4611.02/W/40,LAMP. PAR. NEWTON FLAT 4000K,  272.00 ,3
4611.02/W/ST,LAMP. PAR. NEWTON FLAT 4000K,  272.00 ,3
4611.02/WW/13,LAMP. PAR. NEWTON FLAT 3000K,  272.00 ,3
4611.02/WW/40,LAMP. PAR. NEWTON FLAT 3000K,  272.00 ,3
4611.02/WW/ST,LAMP. PAR. NEWTON FLAT 3000K,  272.00 ,3
4611.02/XW/13,LAMP. PAR. NEWTON FLAT 2700K,  272.00 ,3
4611.02/XW/40,LAMP. PAR. NEWTON FLAT 2700K,  272.00 ,3
4611.02/XW/ST,LAMP. PAR. NEWTON FLAT 2700K,  272.00 ,3
4611.31/W/13,LAMP. PAR. NEWTON FLAT 4000K,  322.00 ,3
4611.31/W/40,LAMP. PAR. NEWTON FLAT 4000K,  322.00 ,3
4611.31/W/ST,LAMP. PAR. NEWTON FLAT 4000K,  322.00 ,3
4611.31/WW/13,LAMP. PAR. NEWTON FLAT 3000K,  322.00 ,3
4611.31/WW/40,LAMP. PAR. NEWTON FLAT 3000K,  322.00 ,3
4611.31/WW/ST,LAMP. PAR. NEWTON FLAT 3000K,  322.00 ,3
4611.31/XW/13,LAMP. PAR. NEWTON FLAT 2700K,  322.00 ,3
4611.31/XW/40,LAMP. PAR. NEWTON FLAT 2700K,  322.00 ,3
4611.31/XW/ST,LAMP. PAR. NEWTON FLAT 2700K,  322.00 ,3
4612.01/W/24,NEWTON DOPPIO 4000K,  408.00 ,3
4612.01/W/38,NEWTON DOPPIO 4000K,  408.00 ,3
4612.01/W/58,NEWTON DOPPIO 4000K,  408.00 ,3
4612.01/W/ST,NEWTON DOPPIO 4000K,  408.00 ,3
4612.01/WW/24,NEWTON DOPPIO 3000K,  408.00 ,3
4612.01/WW/38,NEWTON DOPPIO 3000K,  408.00 ,3
4612.01/WW/58,NEWTON DOPPIO 3000K,  408.00 ,3
4612.01/WW/ST,NEWTON DOPPIO 3000K,  408.00 ,3
4612.01/XW/24,NEWTON DOPPIO 2700K,  408.00 ,3
4612.01/XW/38,NEWTON DOPPIO 2700K,  408.00 ,3
4612.01/XW/58,NEWTON DOPPIO 2700K,  408.00 ,3
4612.01/XW/ST,NEWTON DOPPIO 2700K,  408.00 ,3
4612.02/W/24,NEWTON DOPPIO 4000K,  408.00 ,3
4612.02/W/38,NEWTON DOPPIO 4000K,  408.00 ,3
4612.02/W/58,NEWTON DOPPIO 4000K,  408.00 ,3
4612.02/W/ST,NEWTON DOPPIO 4000K,  408.00 ,3
4612.02/WW/24,NEWTON DOPPIO 3000K,  408.00 ,3
4612.02/WW/38,NEWTON DOPPIO 3000K,  408.00 ,3
4612.02/WW/58,NEWTON DOPPIO 3000K,  408.00 ,3
4612.02/WW/ST,NEWTON DOPPIO 3000K,  408.00 ,3
4612.02/XW/24,NEWTON DOPPIO 2700K,  408.00 ,3
4612.02/XW/38,NEWTON DOPPIO 2700K,  408.00 ,3
4612.02/XW/58,NEWTON DOPPIO 2700K,  408.00 ,3
4612.02/XW/ST,NEWTON DOPPIO 2700K,  408.00 ,3
4612.31/W/24,NEWTON DOPPIO 4000K,  464.00 ,3
4612.31/W/38,NEWTON DOPPIO 4000K,  464.00 ,3
4612.31/W/58,NEWTON DOPPIO 4000K,  464.00 ,3
4612.31/W/ST,NEWTON DOPPIO 4000K,  464.00 ,3
4612.31/WW/24,NEWTON DOPPIO 3000K,  464.00 ,3
4612.31/WW/38,NEWTON DOPPIO 3000K,  464.00 ,3
4612.31/WW/58,NEWTON DOPPIO 3000K,  464.00 ,3
4612.31/WW/ST,NEWTON DOPPIO 3000K,  464.00 ,3
4612.31/XW/24,NEWTON DOPPIO 2700K,  464.00 ,3
4612.31/XW/38,NEWTON DOPPIO 2700K,  464.00 ,3
4612.31/XW/58,NEWTON DOPPIO 2700K,  464.00 ,3
4612.31/XW/ST,NEWTON DOPPIO 2700K,  464.00 ,3
4613.01/W/25,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.01/W/48,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.01/W/63,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.01/W/ST,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.01/WW/25,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.01/WW/48,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.01/WW/63,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.01/WW/ST,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.01/XW/25,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.01/XW/48,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.01/XW/63,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.01/XW/ST,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.02/W/25,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.02/W/48,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.02/W/63,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.02/W/ST,NEWTON SLIM DOPPIO 4000K,  405.00 ,3
4613.02/WW/25,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.02/WW/48,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.02/WW/63,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.02/WW/ST,NEWTON SLIM DOPPIO 3000K,  405.00 ,3
4613.02/XW/25,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.02/XW/48,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.02/XW/63,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.02/XW/ST,NEWTON SLIM DOPPIO 2700K,  405.00 ,3
4613.31/W/35,NEWTON SLIM DOPPIO 4000K,  463.00 ,3
4613.31/W/48,NEWTON SLIM DOPPIO 4000K,  463.00 ,3
4613.31/W/63,NEWTON SLIM DOPPIO 4000K,  463.00 ,3
4613.31/W/ST,NEWTON SLIM DOPPIO 4000K,  463.00 ,3
4613.31/WW/25,NEWTON SLIM DOPPIO 3000K,  463.00 ,3
4613.31/WW/48,NEWTON SLIM DOPPIO 3000K,  463.00 ,3
4613.31/WW/63,NEWTON SLIM DOPPIO 3000K,  463.00 ,3
4613.31/WW/ST,NEWTON SLIM DOPPIO 3000K,  463.00 ,3
4613.31/XW/25,NEWTON SLIM DOPPIO 2700K,  463.00 ,3
4613.31/XW/48,NEWTON SLIM DOPPIO 2700K,  463.00 ,3
4613.31/XW/63,NEWTON SLIM DOPPIO 2700K,  463.00 ,3
4613.31/XW/ST,NEWTON SLIM DOPPIO 2700K,  463.00 ,3
4614.01/W/13,NEWTON FLAT DOPPIO 4000K,  498.00 ,3
4614.01/W/40,NEWTON FLAT DOPPIO 4000K,  498.00 ,3
4614.01/W/ST,NEWTON FLAT DOPPIO 4000K,  498.00 ,3
4614.01/WW/13,NEWTON FLAT DOPPIO 3000K,  498.00 ,3
4614.01/WW/40,NEWTON FLAT DOPPIO 3000K,  498.00 ,3
4614.01/WW/ST,NEWTON FLAT DOPPIO 3000K,  498.00 ,3
4614.01/XW/13,NEWTON FLAT DOPPIO 2700K,  498.00 ,3
4614.01/XW/40,NEWTON FLAT DOPPIO 2700K,  498.00 ,3
4614.01/XW/ST,NEWTON FLAT DOPPIO 2700K,  498.00 ,3
4614.02/W/13,NEWTON FLAT DOPPIO 4000K,  498.00 ,3
4614.02/W/40,NEWTON FLAT DOPPIO 4000K,  498.00 ,3
4614.02/W/ST,NEWTON FLAT DOPPIO 4000K,  498.00 ,3
4614.02/WW/13,NEWTON FLAT DOPPIO 3000K,  498.00 ,3
4614.02/WW/40,NEWTON FLAT DOPPIO 3000K,  498.00 ,3
4614.02/WW/ST,NEWTON FLAT DOPPIO 3000K,  498.00 ,3
4614.02/XW/13,NEWTON FLAT DOPPIO 2700K,  498.00 ,3
4614.02/XW/40,NEWTON FLAT DOPPIO 2700K,  498.00 ,3
4614.02/XW/ST,NEWTON FLAT DOPPIO 2700K,  498.00 ,3
4614.31/W/13,NEWTON FLAT DOPPIO 4000K,  599.00 ,3
4614.31/W/40,NEWTON FLAT DOPPIO 4000K,  599.00 ,3
4614.31/W/ST,NEWTON FLAT DOPPIO 4000K,  599.00 ,3
4614.31/WW/13,NEWTON FLAT DOPPIO 3000K,  599.00 ,3
4614.31/WW/40,NEWTON FLAT DOPPIO 3000K,  599.00 ,3
4614.31/WW/ST,NEWTON FLAT DOPPIO 3000K,  599.00 ,3
4614.31/XW/13,NEWTON FLAT DOPPIO 2700K,  599.00 ,3
4614.31/XW/40,NEWTON FLAT DOPPIO 2700K,  599.00 ,3
4614.31/XW/ST,NEWTON FLAT DOPPIO 2700K,  599.00 ,3
4618.01,LAMP. PAR. NEWTON EASY,  162.00 ,3
4618.02,LAMP. PAR. NEWTON EASY ,  162.00 ,3
4619.01,LAMP. PAR. NEWTON EASY DOPPIO,  329.00 ,3
4619.02,LAMP. PAR. NEWTON EASY DOPPIO,  329.00 ,3
4620.01/W,MOONLIGHT Ø 88 4000K,  560.00 ,3
4620.01/WW,MOONLIGHT Ø 88 3000K,  560.00 ,3
4620.01/XW,MOONLIGHT Ø 88 2700K,  560.00 ,3
4620.14/W,MOONLIGHT Ø 88 4000K,  570.00 ,3
4620.14/WW,MOONLIGHT Ø 88 3000K,  570.00 ,3
4620.14/XW,MOONLIGHT Ø 88 2700K,  570.00 ,3
4620.29/W,MOONLIGHT Ø 88 4000K,  788.00 ,3
4620.29/WW,MOONLIGHT Ø 88 3000K,  788.00 ,3
4620.29/XW,MOONLIGHT Ø 88 2700K,  788.00 ,3
4620.30/W,MOONLIGHT Ø 88 4000K,  788.00 ,3
4620.30/WW,MOONLIGHT Ø 88 3000K,  788.00 ,3
4620.30/XW,MOONLIGHT Ø 88 2700K,  788.00 ,3
4625.01/WW,ECLIPSE IP65 3000K,  238.00 ,3
4625.34/WW,ECLIPSE IP65 3000K,  260.00 ,3
4625.39/WW,ECLIPSE IP65 3000K,  260.00 ,3
4627.01/W,LAMP. PAR. AURORA 4000K,  272.00 ,3
4627.01/WW,LAMP. PAR. AURORA 3000K,  272.00 ,3
4627.01/XW,LAMP. PAR. AURORA 2700K,  272.00 ,3
4627.02.29/W,LAMP. PAR. AURORA 4000K,  385.00 ,3
4627.02.29/WW,LAMP. PAR. AURORA 3000K,  385.00 ,3
4627.02.29/XW,LAMP. PAR. AURORA 2700K,  385.00 ,3
4627.25.01/W,LAMP. PAR. AURORA 4000K,  318.00 ,3
4627.25.01/WW,LAMP. PAR. AURORA 3000K,  318.00 ,3
4627.25.01/XW,LAMP. PAR. AURORA 2700K,  318.00 ,3
4627.32.01/W,LAMP. PAR. AURORA 4000K,  288.00 ,3
4627.32.01/WW,LAMP. PAR. AURORA 3000K,  288.00 ,3
4627.32.01/XW,LAMP. PAR. AURORA 2700K,  288.00 ,3
4628.01/W,AURORA PAR. PUSH 1-10V 4000K,  290.00 ,3
4628.01/WW,AURORA PAR. PUSH 1-10V 3000K,  290.00 ,3
4628.01/XW,AURORA PAR. PUSH 1-10V 2700K,  290.00 ,3
4628.02.29/W,AURORA PAR. PUSH 1-10V 4000K,  399.00 ,3
4628.02.29/WW,AURORA PAR. PUSH 1-10V 3000K,  399.00 ,3
4628.02.29/XW,AURORA PAR. PUSH 1-10V 2700K,  399.00 ,3
4628.25.01/W,AURORA PAR. PUSH 1-10V 4000K,  327.00 ,3
4628.25.01/WW,AURORA PAR. PUSH 1-10V 3000K,  327.00 ,3
4628.25.01/XW,AURORA PAR. PUSH 1-10V 2700K,  327.00 ,3
4628.32.01/W,AURORA PAR. PUSH 1-10V 4000K,  305.00 ,3
4628.32.01/WW,AURORA PAR. PUSH 1-10V 3000K,  305.00 ,3
4628.32.01/XW,AURORA PAR. PUSH 1-10V 2700K,  305.00 ,3
4629.01/W,AURORA PAR. DIMM DALI 4000K,  298.00 ,3
4629.01/WW,AURORA PAR. DIMM DALI 3000K,  298.00 ,3
4629.01/XW,AURORA PAR. DIMM DALI 2700K,  298.00 ,3
4629.02.29/W,AURORA PAR. DIMM DALI 4000K,  415.00 ,3
4629.02.29/WW,AURORA PAR. DIMM DALI 3000K,  415.00 ,3
4629.02.29/XW,AURORA PAR. DIMM DALI 2700K,  415.00 ,3
4629.25.01/W,AURORA PAR. DIMM DALI 4000K,  345.00 ,3
4629.25.01/WW,AURORA PAR. DIMM DALI 3000K,  345.00 ,3
4629.25.01/XW,AURORA PAR. DIMM DALI 2700K,  345.00 ,3
4629.32.01/W,AURORA PAR. DIMM DALI 4000K,  318.00 ,3
4629.32.01/WW,AURORA PAR. DIMM DALI 3000K,  318.00 ,3
4629.32.01/XW,AURORA PAR. DIMM DALI 2700K,  318.00 ,3
4631.02/W,MATITA PARETE SINGOLA 4000K,  175.00 ,3
4631.02/WW,MATITA PARETE SINGOLA 3000K,  175.00 ,3
4631.02/XW,MATITA PARETE SINGOLA 2700K,  175.00 ,3
4632.02/W,MATITA PARETE DOPPIA 4000K,  235.00 ,3
4632.02/WW,MATITA PARETE DOPPIA 3000K,  235.00 ,3
4632.02/XW,MATITA PARETE DOPPIA 2700K,  235.00 ,3
4633.02/W,MATITA PARETE SOFFITTO 4000K,  335.00 ,3
4633.02/WW,MATITA PARETE SOFFITTO 3000K,  335.00 ,3
4633.02/XW,MATITA PARETE SOFFITTO 2700K,  335.00 ,3
4634.02/W,MATITA PARETE 225 CM 4000K,  330.00 ,3
4634.02/WW,MATITA PARETE 225 CM 3000K,  330.00 ,3
4634.02/XW,MATITA PARETE 225 CM 2700K,  330.00 ,3
4636.01/W,LAMP. PAR. DIESIS 4000K,  649.00 ,1
4636.01/WW,LAMP. PAR. DIESIS 3000K,  649.00 ,1
4636.01/XW,LAMP. PAR. DIESIS 2700K,  649.00 ,1
4636.02/W,LAMP. PAR. DIESIS 4000K,  649.00 ,1
4636.02/WW,LAMP. PAR. DIESIS 3000K,  649.00 ,1
4636.02/XW,LAMP. PAR. DIESIS 2700K,  649.00 ,1
4636.35/W,LAMP. PAR. DIESIS 4000K,  649.00 ,1
4636.35/WW,LAMP. PAR. DIESIS 3000K,  649.00 ,1
4636.35/XW,LAMP. PAR. DIESIS 2700K,  649.00 ,1
